iter	Passed	Remaining
0	1	134
1	2	113
2	3	104
3	4	97
4	5	95
5	5	92
6	6	91
7	7	91
8	9	94
9	10	94
10	11	94
11	12	94
12	13	92
13	15	92
14	15	90
15	17	89
16	17	87
17	19	86
18	20	85
19	21	84
20	22	84
21	23	84
22	25	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	47	57
45	47	56
46	48	55
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	81	16
83	83	15
84	84	14
85	85	13
86	85	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
