iter	Passed	Remaining
0	249	249638
1	251	125583
2	252	83937
3	253	63096
4	254	50604
5	255	42276
6	256	36321
7	256	31851
8	257	28373
9	258	25594
10	259	23313
11	260	21422
12	260	19813
13	261	18442
14	262	17264
15	264	16237
16	264	15320
17	265	14506
18	266	13768
19	267	13103
20	268	12505
21	269	11968
22	270	11474
23	270	11014
24	271	10597
25	272	10207
26	273	9845
27	273	9508
28	274	9194
29	275	8902
30	277	8663
31	278	8412
32	279	8178
33	279	7951
34	280	7736
35	281	7532
36	281	7339
37	282	7159
38	283	6986
39	284	6821
40	284	6665
41	285	6517
42	286	6376
43	287	6240
44	288	6114
45	288	5990
46	289	5874
47	290	5767
48	291	5665
49	292	5561
50	293	5459
51	294	5360
52	294	5266
53	295	5175
54	296	5087
55	296	5003
56	297	4921
57	298	4842
58	298	4766
59	299	4693
60	300	4623
61	301	4556
62	302	4492
63	303	4431
64	303	4369
65	304	4314
66	305	4260
67	306	4205
68	307	4152
69	308	4099
70	309	4048
71	310	3998
72	311	3949
73	311	3901
74	312	3855
75	313	3811
76	314	3767
77	315	3723
78	315	3681
79	316	3640
80	317	3602
81	318	3563
82	318	3521
83	319	3486
84	320	3454
85	321	3418
86	322	3383
87	323	3349
88	324	3317
89	324	3285
90	325	3252
91	326	3220
92	327	3189
93	327	3159
94	328	3129
95	329	3100
96	330	3072
97	330	3044
98	331	3016
99	332	2990
100	332	2963
101	334	2940
102	335	2917
103	335	2893
104	336	2869
105	337	2846
106	338	2823
107	339	2800
108	339	2778
109	340	2757
110	341	2735
111	342	2713
112	343	2692
113	343	2673
114	344	2653
115	345	2632
116	346	2611
117	346	2592
118	347	2573
119	348	2556
120	349	2539
121	350	2521
122	351	2503
123	351	2485
124	352	2468
125	353	2452
126	354	2434
127	354	2418
128	355	2402
129	356	2386
130	357	2370
131	358	2355
132	359	2341
133	360	2326
134	360	2312
135	361	2297
136	362	2283
137	363	2270
138	364	2259
139	365	2245
140	366	2232
141	366	2217
142	367	2203
143	368	2190
144	369	2176
145	369	2164
146	370	2151
147	371	2138
148	372	2126
149	373	2114
150	373	2102
151	374	2090
152	375	2078
153	376	2066
154	376	2055
155	378	2045
156	379	2035
157	380	2026
158	381	2015
159	381	2005
160	382	1993
161	383	1983
162	384	1973
163	385	1963
164	386	1953
165	386	1944
166	387	1934
167	388	1924
168	389	1914
169	390	1904
170	390	1895
171	391	1886
172	392	1877
173	393	1869
174	394	1861
175	395	1853
176	396	1844
177	397	1835
178	398	1827
179	399	1819
180	400	1811
181	401	1802
182	401	1794
183	402	1785
184	403	1777
185	404	1769
186	405	1761
187	406	1754
188	407	1746
189	408	1740
190	409	1733
191	410	1725
192	410	1718
193	411	1710
194	412	1703
195	413	1696
196	414	1689
197	415	1682
198	416	1674
199	416	1667
200	417	1660
201	418	1653
202	419	1646
203	420	1639
204	421	1633
205	421	1626
206	423	1620
207	424	1614
208	424	1608
209	425	1601
210	426	1595
211	427	1588
212	428	1582
213	429	1576
214	430	1570
215	430	1564
216	431	1557
217	432	1551
218	433	1545
219	434	1539
220	435	1533
221	436	1528
222	436	1522
223	437	1516
224	438	1510
225	439	1504
226	440	1499
227	441	1493
228	442	1488
229	443	1483
230	444	1478
231	444	1472
232	445	1467
233	446	1463
234	447	1457
235	448	1452
236	449	1447
237	450	1442
238	451	1437
239	452	1432
240	453	1428
241	454	1424
242	455	1420
243	456	1415
244	457	1410
245	458	1406
246	459	1401
247	460	1396
248	461	1391
249	462	1386
250	463	1382
251	464	1377
252	465	1373
253	466	1368
254	467	1364
255	468	1361
256	489	1415
257	490	1411
258	491	1406
259	492	1402
260	493	1398
261	494	1394
262	495	1389
263	496	1384
264	497	1379
265	498	1375
266	499	1372
267	500	1367
268	501	1363
269	502	1359
270	503	1354
271	504	1350
272	505	1346
273	506	1342
274	507	1337
275	508	1333
276	509	1328
277	510	1324
278	510	1320
279	511	1315
280	512	1312
281	514	1308
282	515	1305
283	516	1301
284	517	1297
285	518	1293
286	518	1289
287	519	1284
288	520	1280
289	521	1276
290	522	1272
291	523	1268
292	524	1264
293	524	1260
294	525	1256
295	526	1252
296	527	1248
297	528	1245
298	530	1244
299	531	1240
300	532	1236
301	533	1232
302	534	1229
303	535	1225
304	536	1221
305	536	1217
306	537	1213
307	538	1210
308	539	1207
309	540	1203
310	541	1199
311	542	1196
312	543	1193
313	545	1191
314	546	1187
315	547	1184
316	548	1181
317	549	1177
318	549	1173
319	550	1170
320	551	1166
321	552	1162
322	553	1159
323	554	1156
324	555	1153
325	555	1149
326	557	1146
327	558	1143
328	559	1141
329	560	1138
330	561	1135
331	562	1132
332	563	1129
333	564	1125
334	565	1122
335	566	1119
336	567	1115
337	568	1112
338	568	1109
339	569	1105
340	570	1102
341	572	1101
342	573	1098
343	574	1095
344	575	1092
345	576	1089
346	577	1085
347	577	1082
348	578	1079
349	579	1076
350	580	1073
351	581	1069
352	581	1066
353	582	1063
354	583	1060
355	584	1056
356	585	1053
357	585	1050
358	587	1048
359	588	1045
360	589	1043
361	590	1040
362	591	1037
363	592	1034
364	593	1032
365	594	1029
366	595	1026
367	596	1024
368	597	1021
369	598	1018
370	598	1015
371	599	1012
372	600	1009
373	601	1007
374	603	1005
375	604	1002
376	605	999
377	605	996
378	606	994
379	607	991
380	608	988
381	609	985
382	609	982
383	610	979
384	611	977
385	612	974
386	613	971
387	614	968
388	614	965
389	616	963
390	617	961
391	618	958
392	619	956
393	620	953
394	621	951
395	621	948
396	622	945
397	623	943
398	624	940
399	625	938
400	626	935
401	627	932
402	627	930
403	628	927
404	629	925
405	631	923
406	632	921
407	633	919
408	634	916
409	635	914
410	636	911
411	637	909
412	638	907
413	639	904
414	640	902
415	640	899
416	641	897
417	642	894
418	643	892
419	644	889
420	645	887
421	647	886
422	648	884
423	649	881
424	649	879
425	650	876
426	651	874
427	652	872
428	653	869
429	654	867
430	655	864
431	655	862
432	656	859
433	657	857
434	658	854
435	658	852
436	660	850
437	661	848
438	662	846
439	663	844
440	664	842
441	665	839
442	666	837
443	667	835
444	668	833
445	668	830
446	669	828
447	670	826
448	671	823
449	672	821
450	672	819
451	673	816
452	674	814
453	675	812
454	676	810
455	677	808
456	678	805
457	679	803
458	679	801
459	680	798
460	681	796
461	682	794
462	682	792
463	683	789
464	684	787
465	685	785
466	686	783
467	686	780
468	687	778
469	688	776
470	689	774
471	690	772
472	691	770
473	692	768
474	693	766
475	694	764
476	694	762
477	695	759
478	696	757
479	697	755
480	698	753
481	699	751
482	699	749
483	700	747
484	701	744
485	702	742
486	702	740
487	703	738
488	705	736
489	706	735
490	707	733
491	708	731
492	708	728
493	709	726
494	710	724
495	711	722
496	712	720
497	712	718
498	713	716
499	714	714
500	715	712
501	715	710
502	716	708
503	717	706
504	718	704
505	720	703
506	721	701
507	722	699
508	723	697
509	724	695
510	724	693
511	725	691
512	726	689
513	727	687
514	728	685
515	728	683
516	729	681
517	730	679
518	731	677
519	732	675
520	733	674
521	734	672
522	735	671
523	736	669
524	737	667
525	738	665
526	739	663
527	740	661
528	741	659
529	742	658
530	742	656
531	743	654
532	744	652
533	745	650
534	746	648
535	747	646
536	748	645
537	749	643
538	750	641
539	751	640
540	752	638
541	753	636
542	754	634
543	755	633
544	756	631
545	756	629
546	757	627
547	758	625
548	759	623
549	760	621
550	761	620
551	762	618
552	763	616
553	764	615
554	765	613
555	766	611
556	766	609
557	767	608
558	768	606
559	769	604
560	770	602
561	771	600
562	772	599
563	772	597
564	773	595
565	774	593
566	774	591
567	775	589
568	776	588
569	777	586
570	778	585
571	779	583
572	780	581
573	781	580
574	782	578
575	783	576
576	784	574
577	785	573
578	786	571
579	786	569
580	787	568
581	788	566
582	789	564
583	790	562
584	791	561
585	792	559
586	793	558
587	794	556
588	795	555
589	796	553
590	797	551
591	798	550
592	799	548
593	799	546
594	800	545
595	801	543
596	802	541
597	803	539
598	804	538
599	804	536
600	805	534
601	806	533
602	808	532
603	809	530
604	810	529
605	811	527
606	812	526
607	813	524
608	814	522
609	814	520
610	815	519
611	816	517
612	817	515
613	818	514
614	818	512
615	819	510
616	820	509
617	822	508
618	823	506
619	824	505
620	825	503
621	826	502
622	827	500
623	828	499
624	829	497
625	829	495
626	830	494
627	831	492
628	832	490
629	833	489
630	833	487
631	834	485
632	835	484
633	836	483
634	838	481
635	839	480
636	839	478
637	840	477
